NDC,MRX_CAT
00004026806,MRX2
00004035009,MRX7
00004035039,MRX7
00004035239,MRX7
00004035730,MRX7
00004036030,MRX7
00004036530,MRX7
00004038039,MRX8
00004038140,MRX8
00004110020,MRX11
00004110051,MRX11
00004110116,MRX11
00004110150,MRX11
00004110175,MRX11
00004193508,MRX11
00004196801,MRX2
00004196901,MRX2
00004197001,MRX2
00004197701,MRX11
00004200709,MRX7
00004200909,MRX7
00004201009,MRX7
00004201109,MRX7
00004201209,MRX7
00004201507,MRX7
00004201509,MRX7
00004201607,MRX7
00004201609,MRX7
00004201707,MRX7
00004201709,MRX7
00004592001,MRX13
00004592101,MRX13
00005310023,MRX2
00005310031,MRX2
00005318023,MRX2
00005318034,MRX2
00005318123,MRX2
00005318134,MRX2
00005318223,MRX2
00005321834,MRX2
00005321843,MRX2
00005321934,MRX2
00005321943,MRX2
00005322034,MRX2
00005322043,MRX2
00005323423,MRX2
00005323538,MRX2
00005323823,MRX2
00005333334,MRX2
00005333343,MRX2
00005333434,MRX2
00005333443,MRX2
00005333534,MRX2
00005333543,MRX2
00005333634,MRX2
00005333643,MRX2
00005355834,MRX2
00005356534,MRX2
00005370823,MRX2
00005370923,MRX2
00005374323,MRX2
00005374331,MRX2
00005375234,MRX2
00005375334,MRX2
00005379023,MRX2
00005379031,MRX2
00005379123,MRX2
00005379131,MRX2
00005381638,MRX2
00005381738,MRX2
00005385031,MRX2
00005385043,MRX2
00005385131,MRX2
00005385143,MRX2
00005443423,MRX13
00005443623,MRX13
00005444065,MRX13
00005450704,MRX11
00005450705,MRX11
00005450707,MRX11
00005450709,MRX11
00005450723,MRX11
00005450791,MRX11
00005497002,MRX3
00005509323,MRX15
00005509331,MRX15
00006001428,MRX2
00006001468,MRX2
00006001482,MRX2
00006001487,MRX2
00006001494,MRX2
00006001528,MRX2
00006001531,MRX2
00006001558,MRX2
00006001572,MRX2
00006001928,MRX2
00006001954,MRX2
00006001958,MRX2
00006001972,MRX2
00006001982,MRX2
00006001986,MRX2
00006001994,MRX2
00006002168,MRX13
00006002668,MRX3
00006004268,MRX2
00006004282,MRX2
00006004768,MRX3
00006005968,MRX2
00006006068,MRX13
00006006568,MRX2
00006006768,MRX2
00006007131,MRX10
00006007154,MRX10
00006007161,MRX10
00006007861,MRX4
00006007862,MRX4
00006007882,MRX4
00006008061,MRX4
00006008062,MRX4
00006008082,MRX4
00006008131,MRX4
00006008154,MRX4
00006008182,MRX4
00006009068,MRX2
00006009268,MRX2
00006010568,MRX2
00006010586,MRX2
00006010628,MRX2
00006010631,MRX2
00006010654,MRX2
00006010658,MRX2
00006010672,MRX2
00006010682,MRX2
00006010686,MRX2
00006010694,MRX2
00006011228,MRX4
00006011231,MRX4
00006011254,MRX4
00006013568,MRX2
00006013668,MRX2
00006014031,MRX2
00006014058,MRX2
00006014231,MRX2
00006014258,MRX2
00006014531,MRX2
00006014558,MRX2
00006017368,MRX2
00006020728,MRX2
00006020731,MRX2
00006020754,MRX2
00006020758,MRX2
00006020772,MRX2
00006020782,MRX2
00006020786,MRX2
00006020794,MRX2
00006021468,MRX2
00006022101,MRX4
00006022128,MRX4
00006022131,MRX4
00006022154,MRX4
00006023758,MRX2
00006027701,MRX4
00006027728,MRX4
00006027731,MRX4
00006027733,MRX4
00006027754,MRX4
00006027782,MRX4
00006042368,MRX2
00006043268,MRX2
00006043768,MRX2
00006045668,MRX2
00006045682,MRX2
00006053331,MRX4
00006053354,MRX4
00006053531,MRX4
00006053554,MRX4
00006053731,MRX4
00006053754,MRX4
00006057062,MRX8
00006057142,MRX8
00006057143,MRX8
00006057301,MRX8
00006057318,MRX8
00006057340,MRX8
00006057342,MRX8
00006057354,MRX8
00006057362,MRX8
00006057465,MRX8
00006057552,MRX4
00006057561,MRX4
00006057562,MRX4
00006057582,MRX4
00006057752,MRX4
00006057761,MRX4
00006057762,MRX4
00006057782,MRX4
00006063468,MRX2
00006063568,MRX13
00006069068,MRX2
00006069468,MRX2
00006071228,MRX2
00006071268,MRX2
00006071282,MRX2
00006071294,MRX2
00006071328,MRX2
00006071368,MRX2
00006071382,MRX2
00006071394,MRX2
00006071428,MRX2
00006071468,MRX2
00006071482,MRX2
00006071494,MRX2
00006071701,MRX2
00006071728,MRX2
00006071731,MRX2
00006071754,MRX2
00006071758,MRX2
00006071782,MRX2
00006071786,MRX2
00006072068,MRX2
00006074501,MRX2
00006074528,MRX2
00006074531,MRX2
00006074554,MRX2
00006074582,MRX2
00006074586,MRX2
00006074701,MRX2
00006074728,MRX2
00006074731,MRX2
00006074754,MRX2
00006074758,MRX2
00006074781,MRX2
00006074782,MRX2
00006075331,MRX4
00006075354,MRX4
00006075382,MRX4
00006075731,MRX4
00006075754,MRX4
00006075782,MRX4
00006077331,MRX4
00006077354,MRX4
00006077382,MRX4
00006091768,MRX2
00006093568,MRX2
00006095101,MRX2
00006095128,MRX2
00006095154,MRX2
00006095158,MRX2
00006095182,MRX2
00006095187,MRX2
00006095201,MRX2
00006095228,MRX2
00006095231,MRX2
00006095254,MRX2
00006095258,MRX2
00006095282,MRX2
00006095287,MRX2
00006096001,MRX2
00006096028,MRX2
00006096031,MRX2
00006096054,MRX2
00006096058,MRX2
00006096082,MRX2
00006096086,MRX2
00006323966,MRX2
00006327516,MRX13
00006327538,MRX13
00006329822,MRX11
00006350801,MRX2
00006350804,MRX2
00006361932,MRX2
00006362050,MRX2
00006371325,MRX2
00006371350,MRX2
00006373943,MRX2
00006373955,MRX2
00006373996,MRX2
00006382401,MRX2
00006382404,MRX2
00006391568,MRX13
00006391668,MRX13
00006391768,MRX13
00006391868,MRX13
00006391968,MRX13
00006461200,MRX11
00006775331,MRX11
00007314813,MRX4
00007314913,MRX4
00007315113,MRX4
00007315213,MRX4
00007315313,MRX4
00007316318,MRX4
00007316418,MRX4
00007316618,MRX4
00007316620,MRX4
00007316718,MRX4
00007316720,MRX4
00007316818,MRX4
00007316820,MRX4
00007323001,MRX1
00007323002,MRX1
00007323011,MRX1
00007323201,MRX1
00007323202,MRX1
00007323211,MRX1
00007323401,MRX1
00007323402,MRX1
00007323411,MRX1
00007323601,MRX1
00007323602,MRX1
00007323611,MRX1
00007326031,MRX11
00007326036,MRX11
00007326101,MRX11
00007326201,MRX11
00007337013,MRX2
00007337059,MRX2
00007337113,MRX2
00007337159,MRX2
00007337213,MRX2
00007337259,MRX2
00007337313,MRX2
00007337359,MRX2
00007365021,MRX2
00007365022,MRX2
00007365030,MRX2
00007400720,MRX3
00007400725,MRX3
00007401020,MRX3
00007413920,MRX2
00007414020,MRX2
00007414120,MRX2
00007414220,MRX2
00007420101,MRX11
00007420105,MRX11
00007420511,MRX11
00007420711,MRX11
00007440101,MRX11
00007440106,MRX11
00007447120,MRX3
00007488213,MRX13
00007488313,MRX13
00007488513,MRX13
00007488559,MRX13
00007488713,MRX13
00007488759,MRX13
00007488813,MRX13
00007488859,MRX13
00007489014,MRX13
00007489020,MRX13
00007489120,MRX13
00007489214,MRX13
00007489220,MRX13
00007489314,MRX13
00007489320,MRX13
00007489420,MRX13
00007489520,MRX13
00007489620,MRX13
00007489814,MRX13
00007506011,MRX3
00007506101,MRX3
00007506111,MRX3
00007506201,MRX3
00007506315,MRX3
00007506415,MRX3
00007506615,MRX3
00007507003,MRX3
00007507103,MRX3
00007507244,MRX3
00007507320,MRX3
00007507420,MRX3
00007507430,MRX3
00007507620,MRX3
00007507630,MRX3
00007507720,MRX3
00007507920,MRX3
00007507930,MRX3
00008007301,MRX2
00008007304,MRX2
00008007401,MRX2
00008027501,MRX1
00008027550,MRX1
00008027601,MRX1
00008027701,MRX1
00008027702,MRX1
00008027703,MRX1
00008027802,MRX1
00008029301,MRX1
00008030401,MRX14
00008048201,MRX1
00008049901,MRX14
00008070101,MRX3
00008070102,MRX3
00008070107,MRX3
00008070108,MRX3
00008070301,MRX3
00008070302,MRX3
00008070307,MRX3
00008070308,MRX3
00008070401,MRX3
00008070402,MRX3
00008070407,MRX3
00008070408,MRX3
00008070501,MRX3
00008070502,MRX3
00008070507,MRX3
00008070508,MRX3
00008074701,MRX14
00008077101,MRX2
00008077102,MRX2
00008078101,MRX3
00008078102,MRX3
00008078107,MRX3
00008078108,MRX3
00008081202,MRX2
00008081401,MRX2
00008083301,MRX3
00008083302,MRX3
00008083303,MRX3
00008083320,MRX3
