pcsa,zip,state_cd,zcta,fips_code,lat,lng,zip_type,ruca_code,census_region,census_division,distance_to_fqhc
48325000102,78009,TX,78009,325,29.3553,-98.8824,Zip Code Area,2,S,WSC,35.65861978553017
48325000102,78039,TX,78039,325,29.3082,-98.8125,Zip Code Area,2,S,WSC,32.30856052715568
48325000102,78054,TX,78002,029,29.3258,-98.6911,Post Office or large volume customer,2,S,WSC,24.719765463948978
48017950100,79324,TX,79324,017,33.8731,-102.7599,Zip Code Area,7,S,WSC,41.906402157132455
48485012400,76305,TX,76305,485,33.9995,-98.3938,Zip Code Area,1,S,WSC,14.04817776188902
48485012400,76302,TX,76302,485,33.8643,-98.494,Zip Code Area,1,S,WSC,4.672684830703779
48485012400,76301,TX,76301,485,33.9053,-98.4976,Zip Code Area,1,S,WSC,0.0
47183968600,38230,TN,38230,183,36.1485,-88.7453,Zip Code Area,10,S,ESC,68.5526285626162
47187051001,37014,TN,37014,187,35.8566,-86.6633,Zip Code Area,2,S,ESC,18.275272609823006
47187051001,37024,TN,37027,187,36.0331,-86.7828,Post Office or large volume customer,1,S,ESC,11.979451467477404
47187051001,37027,TN,37027,187,36.0063,-86.7909,Zip Code Area,1,S,ESC,11.979451467477404
47187051001,37046,TN,37046,187,35.7832,-86.7495,Zip Code Area,2,S,ESC,25.537250013536333
47187051001,37062,TN,37062,187,35.9755,-87.1321,Zip Code Area,2,S,ESC,20.157425955112625
47187051001,37064,TN,37064,187,35.9328,-86.8788,Zip Code Area,1,S,ESC,0.0
47187051001,37065,TN,37064,187,35.9251,-86.8689,Post Office or large volume customer,1,S,ESC,0.0
47187051001,37067,TN,37067,187,35.9121,-86.7655,Zip Code Area,1,S,ESC,15.946222292265368
47187051001,37068,TN,37064,187,35.8746,-86.9076,Post Office or large volume customer,1,S,ESC,0.0
47187051001,37069,TN,37069,187,35.9796,-86.9106,Zip Code Area,1,S,ESC,12.278126562663022
47187051001,37135,TN,37135,187,35.9307,-86.6829,Zip Code Area,1,S,ESC,21.122665081660905
47189030401,37087,TN,37087,189,36.2098,-86.3024,Zip Code Area,4.1,S,ESC,37.23527171622491
47189030401,37088,TN,37087,189,36.2081,-86.2911,Post Office or large volume customer,4.1,S,ESC,37.23527171622491
47189030401,37090,TN,37090,189,36.1185,-86.263,Zip Code Area,5.1,S,ESC,23.724916182200413
47183968500,38229,TN,38229,183,36.2117,-88.6184,Zip Code Area,9,S,ESC,79.94596242605712
47183968201,38255,TN,38255,183,36.2395,-88.8477,Zip Code Area,5,S,ESC,57.87405020234399
47183968202,38241,TN,38241,183,36.3948,-88.6142,Zip Code Area,5,S,ESC,77.84704617879392
47183968202,38238,TN,38237,183,36.3434,-88.8503,Zip Code Area,4,S,ESC,56.39284288550353
47169090100,37074,TN,37074,169,36.3947,-86.1704,Zip Code Area,2,S,ESC,19.939398703633014
47171080100,37650,TN,37650,171,36.1342,-82.4163,Zip Code Area,7.1,S,ESC,24.00241138815858
47171080100,37657,TN,37657,171,36.0085,-82.5623,Zip Code Area,2,S,ESC,35.803226715504096
47173040201,37779,TN,37779,173,36.2001,-83.76,Zip Code Area,2,S,ESC,34.23928287368904
47173040201,37807,TN,37807,173,36.2343,-83.8403,Zip Code Area,2,S,ESC,28.228709729787074
47185935400,38559,TN,38559,185,35.8356,-85.5191,Zip Code Area,6,S,ESC,46.46213088764107
47185935400,38579,TN,38579,185,35.8303,-85.552,Zip Code Area,6,S,ESC,43.378876657925005
47189030401,37136,TN,37184,189,36.1562,-86.3049,Post Office or large volume customer,5.1,S,ESC,31.586970945557333
47185935400,38583,TN,38583,185,35.9439,-85.4392,Zip Code Area,7.2,S,ESC,32.33381673923754
47185935400,38587,TN,38587,185,35.8695,-85.6185,Zip Code Area,6,S,ESC,40.79724663537319
47181950200,38425,TN,38425,181,35.3819,-87.95,Zip Code Area,10,S,ESC,23.24193579185715
