val,label,level,level_order,adult
20211,CANH,3,2,1
20212,CANH,3,2,1
20213,CANH,3,2,1
20214,CANH,3,2,1
20215,CANH,3,2,1
20216,CANH,3,2,1
20217,CANH,3,2,1
20218,CANH,3,2,1
2022,CANM,3,3,1
20220,CANM,3,3,1
20221,CANM,3,3,1
20222,CANM,3,3,1
20223,CANM,3,3,1
20224,CANM,3,3,1
20225,CANM,3,3,1
20226,CANM,3,3,1
20227,CANM,3,3,1
20228,CANM,3,3,1
2023,CANM,3,3,1
20230,CANM,3,3,1
20231,CANM,3,3,1
20232,CANM,3,3,1
20233,CANM,3,3,1
20234,CANM,3,3,1
20235,CANM,3,3,1
20236,CANM,3,3,1
20237,CANM,3,3,1
20238,CANM,3,3,1
2024,CANM,3,3,1
20240,CANM,3,3,1
20241,CANM,3,3,1
20242,CANM,3,3,1
20243,CANM,3,3,1
20244,CANM,3,3,1
20245,CANM,3,3,1
20246,CANM,3,3,1
20247,CANM,3,3,1
20248,CANM,3,3,1
2025,CANM,3,3,1
20250,CANM,3,3,1
20251,CANM,3,3,1
20252,CANM,3,3,1
20253,CANM,3,3,1
20254,CANM,3,3,1
20255,CANM,3,3,1
20256,CANM,3,3,1
20257,CANM,3,3,1
20258,CANM,3,3,1
2026,CANM,3,3,1
20260,CANM,3,3,1
20261,CANM,3,3,1
20262,CANM,3,3,1
20263,CANM,3,3,1
20264,CANM,3,3,1
20265,CANM,3,3,1
20266,CANM,3,3,1
20267,CANM,3,3,1
20268,CANM,3,3,1
20270,CANH,3,2,1
20271,CANH,3,2,1
20272,CANH,3,2,1
20273,CANH,3,2,1
20274,CANH,3,2,1
20275,CANH,3,2,1
20276,CANH,3,2,1
20277,CANH,3,2,1
20278,CANH,3,2,1
2028,CANM,3,3,1
20280,CANM,3,3,1
20281,CANM,3,3,1
20282,CANM,3,3,1
20283,CANM,3,3,1
20284,CANM,3,3,1
20285,CANM,3,3,1
20286,CANM,3,3,1
20287,CANM,3,3,1
20288,CANM,3,3,1
2029,CANM,3,3,1
20290,CANM,3,3,1
20291,CANM,3,3,1
20292,CANM,3,3,1
20293,CANM,3,3,1
20294,CANM,3,3,1
20295,CANM,3,3,1
20296,CANM,3,3,1
20297,CANM,3,3,1
20298,CANM,3,3,1
203,CANVH,3,1,1
2030,CANVH,3,1,1
20300,CANVH,3,1,1
20301,CANVH,3,1,1
20302,CANVH,3,1,1
2031,CANVH,3,1,1
20310,CANVH,3,1,1
20311,CANVH,3,1,1
20312,CANVH,3,1,1
2038,CANVH,3,1,1
20380,CANVH,3,1,1
20381,CANVH,3,1,1
20382,CANVH,3,1,1
204,CANH,3,2,1
2040,CANH,3,2,1
